time_bucket,sales,transaction
2022-01-01 10:00:00,142.8,20
2022-01-01 10:00:35,160.32,32
2022-01-01 10:00:51,38.12,40
2022-01-01 10:15:12,64.87,47
2022-01-01 10:15:19,102.4,65
2022-01-01 10:15:22,25.74,62
2022-01-01 10:15:26,88.62,100
2022-01-01 10:30:25,24.12,6
2022-01-01 10:30:29,142.77,92
2022-01-01 10:30:34,179.3,79
2022-01-01 10:30:54,0.95,87
2022-01-01 10:45:11,91.93,65
2022-01-01 10:45:16,128.37,98
2022-01-01 10:45:31,130.96,93
2022-01-01 10:45:50,101.29,64
2022-01-01 11:00:05,183.99,63
2022-01-01 11:00:07,59.78,79
2022-01-01 11:00:17,104.93,53
2022-01-01 11:00:29,182.12,95
2022-01-01 11:00:43,84.13,34
2022-01-01 11:00:54,84.71,54
2022-01-01 11:15:00,45.45,70
2022-01-01 11:15:13,112.87,8
2022-01-01 11:15:24,126.31,70
2022-01-01 11:15:31,94.25,46
2022-01-01 11:15:38,157.93,41
2022-01-01 11:15:48,116.87,18
2022-01-01 11:30:05,51.91,84
2022-01-01 11:30:14,112.46,7
2022-01-01 11:30:15,172.55,77
2022-01-01 11:30:42,46.48,7
2022-01-01 11:30:45,99.66,3
2022-01-01 11:30:50,142.56,98
2022-01-01 11:45:01,36.69,30
2022-01-01 11:45:22,117.72,43
2022-01-01 11:45:30,165.05,46
2022-01-01 11:45:37,30.98,50
2022-01-01 11:45:56,7.61,84
2022-01-01 12:00:01,41.75,93
2022-01-01 12:00:06,54.22,79
2022-01-01 12:00:39,144.93,85
2022-01-01 12:00:43,61.35,63
2022-01-01 12:00:46,173.09,95
2022-01-01 12:00:52,106.73,43
2022-01-01 12:00:53,137.37,64
2022-01-01 12:00:57,55.84,52
2022-01-01 12:15:07,194.01,91
2022-01-01 12:15:10,82.73,54
2022-01-01 12:15:16,118.97,40
2022-01-01 12:15:20,4.18,81
2022-01-01 12:15:23,3.62,23
2022-01-01 12:15:27,106.84,4
2022-01-01 12:15:29,19.13,48
2022-01-01 12:15:34,43.54,40
2022-01-01 12:30:03,172.94,29
2022-01-01 12:30:32,17.36,61
2022-01-01 12:30:38,74.15,12
2022-01-01 12:30:43,17.68,35
2022-01-01 12:30:49,166.79,16
2022-01-01 12:30:50,3.6,51
2022-01-01 12:30:54,156.04,55
2022-01-01 12:30:58,117.83,88
2022-01-01 12:45:06,153.93,0
2022-01-01 12:45:13,161.47,25
2022-01-01 12:45:18,195.91,13
2022-01-01 12:45:25,69.03,72
2022-01-01 12:45:27,182.45,72
2022-01-01 12:45:28,171.57,3
2022-01-01 12:45:55,180.43,74
2022-01-01 12:45:59,27.43,4
2022-01-01 13:00:03,34.26,15
2022-01-01 13:00:09,144.05,31
2022-01-01 13:00:12,2.01,45
2022-01-01 13:00:24,20.93,71
2022-01-01 13:00:29,198.75,94
2022-01-01 13:00:37,17.44,13
2022-01-01 13:00:42,43.82,13
2022-01-01 13:00:52,187.53,33
2022-01-01 13:00:56,149.54,55
2022-01-01 13:15:00,31.88,18
2022-01-01 13:15:03,109.98,47
2022-01-01 13:15:16,78.39,11
2022-01-01 13:15:23,85.07,79
2022-01-01 13:15:28,86.78,59
2022-01-01 13:15:32,109.25,4
2022-01-01 13:15:35,104.12,58
2022-01-01 13:15:44,143.33,90
2022-01-01 13:15:49,132.31,33
2022-01-01 13:15:55,41.12,47
2022-01-01 13:30:07,14.32,56
2022-01-01 13:30:14,165.49,84
2022-01-01 13:30:18,27.46,11
2022-01-01 13:30:21,161.75,68
2022-01-01 13:30:39,85.93,23
2022-01-01 13:30:44,58.06,8
2022-01-01 13:30:46,61.85,97
2022-01-01 13:30:51,46.77,99
2022-01-01 13:30:56,191.89,17
2022-01-01 13:45:00,170.86,40
2022-01-01 13:45:03,125.31,62
2022-01-01 13:45:06,140.61,60
2022-01-01 13:45:13,43.6,53
2022-01-01 13:45:29,81.78,88
2022-01-01 13:45:31,6.81,64
2022-01-01 13:45:34,17.37,66
2022-01-01 13:45:41,133.34,38
2022-01-01 13:45:47,115.9,89
2022-01-01 14:00:06,146.59,93
2022-01-01 14:00:12,29.42,15
2022-01-01 14:00:20,183.14,79
2022-01-01 14:00:42,134.27,9
2022-01-01 14:00:48,100.13,17
2022-01-01 14:00:51,169.94,48
2022-01-01 14:00:57,80.69,60
2022-01-01 14:00:58,143.34,12
2022-01-01 14:15:05,98.86,5
2022-01-01 14:15:07,104.68,0
2022-01-01 14:15:15,86.6,96
2022-01-01 14:15:19,79.1,3
2022-01-01 14:15:28,71.52,99
2022-01-01 14:15:32,103.69,34
2022-01-01 14:15:38,131.04,99
2022-01-01 14:15:59,33.24,14
2022-01-01 14:30:21,167.9,68
2022-01-01 14:30:26,130.69,44
2022-01-01 14:30:33,34.69,69
2022-01-01 14:30:39,88.8,31
2022-01-01 14:30:43,170.24,31
2022-01-01 14:30:48,60.6,69
2022-01-01 14:30:51,22.73,90
2022-01-01 14:30:54,105.2,0
2022-01-01 14:45:03,55.65,29
2022-01-01 14:45:08,124.83,43
